Date,Hydro,Coals,Gas,Renewables,Import & Diesel
2022-01-31,6097.0,9000.0,2400.0,3651.0,171.0
2022-02-28,4749.0,8356.0,2009.0,3451.0,151.0
2022-03-31,5626.0,11138.0,3239.0,3537.0,138.0
2022-04-30,5747.0,10770.0,2875.0,3290.0,86.0
2022-05-31,8329.0,9072.0,2568.0,3232.0,319.0
2022-06-30,11063.0,7710.0,2259.0,3266.0,475.0
2022-07-31,11000.0,8194.0,2180.0,3076.0,310.0
2022-08-31,10663.0,7768.0,2295.0,3089.0,289.0
2022-09-30,9766.0,7555.0,2021.0,2642.0,281.0
2022-10-31,9399.0,7408.0,2206.0,2407.0,497.0
2022-11-30,7287.0,8451.0,2729.0,2738.0,384.0
2022-12-31,6203.0,9119.0,2486.0,3486.0,417.0
2023-01-31,5500.0,7580.0,1880.0,2980.0,368.0
2023-02-28,5070.0,8890.0,2440.0,3470.0,367.0
2023-03-31,4810.0,11560.0,2820.0,3770.0,218.0
2023-04-30,5371.0,11804.0,2816.0,3024.0,346.0
2023-05-31,4431.0,13601.0,2762.0,3073.0,1371.0
2023-06-30,4768.0,13237.0,2675.0,3112.0,248.0
2023-07-31,6970.0,13190.0,2580.0,2610.0,470.0
2023-08-31,11650.0,8130.0,1250.0,4240.0,400.0
2023-09-30,9600.0,9120.0,1560.0,2780.0,480.0
2023-10-31,8690.0,10540.0,2080.0,2450.0,460.0
2023-11-30,7830.0,9930.0,1900.0,3120.0,410.0
2023-12-31,6334.0,11907.0,1515.0,3222.0,711.0
2024-01-31,4790.0,12750.0,1850.0,4090.0,490.0
2024-02-29,2997.2000000000007,11205.5,1826.6,3231.8999999999996,485.0999999999999
2024-03-31,2832.7999999999993,16034.5,2383.4,4128.1,174.9000000000001
2024-04-30,3790.0,16900.0,2460.0,3100.0,410.0
2024-05-31,4670.0,17080.0,2650.0,3070.0,460.0
2024-06-30,9550.0,12370.0,1950.0,3110.0,540.0
2024-07-31,12270.0,10060.0,1530.0,3290.0,510.0
2024-08-31,12515.400000000001,10261.199999999997,1560.6000000000004,3355.7999999999993,520.1999999999998
2024-09-30,12154.599999999999,8608.800000000003,979.3999999999996,2704.2000000000007,429.8000000000002
2024-10-31,10740.0,10720.0,1270.0,2800.0,500.0
2024-11-30,7631.0,12599.0,1846.0,3288.0,452.0
2024-12-31,7134.985000000001,11780.065000000002,1726.0099999999984,3074.279999999999,422.6199999999999
2025-01-31,4830.8,12906.4,1404.0,3816.8,431.5
2025-02-28,4459.2,11913.6,1296.0,3523.2,431.5
2025-03-31,4510.0,15980.0,1900.0,4170.0,467.0
2025-04-30,4700.0,15800.0,2300.0,3690.0,390.0
2025-05-31,7200.0,15800.0,1800.0,3000.0,580.0
2025-06-30,10800.0,12200.0,1570.0,2780.0,940.0
