thoiGianCapNhat,thoiGian,congSuatMB,congSuatMT,congSuatMN,congSuatHT
2020-01-01T23:59:59,2020-01-01T00:30:00,8910.0,1532.0,10621.0,21063.0
2020-01-01T23:59:59,2020-01-01T01:00:00,8817.0,1406.0,10513.0,20736.0
2020-01-01T23:59:59,2020-01-01T01:30:00,8793.0,1394.0,10677.0,20864.0
2020-01-01T23:59:59,2020-01-01T02:00:00,8657.9,1397.0,10676.0,20730.9
2020-01-01T23:59:59,2020-01-01T02:30:00,8588.6,1651.0,10409.4,20649.0
2020-01-01T23:59:59,2020-01-01T03:00:00,8829.3,1679.0,10110.6,20618.9
2020-01-01T23:59:59,2020-01-01T03:30:00,9418.7,1487.6,9642.0,20548.3
2020-01-01T23:59:59,2020-01-01T04:00:00,10476.0,1978.3,8599.0,21053.3
2020-01-01T23:59:59,2020-01-01T04:30:00,10568.0,2098.3,9961.2,22627.5
2020-01-01T23:59:59,2020-01-01T05:00:00,11859.0,2692.0,9794.9,24345.9
2020-01-01T23:59:59,2020-01-01T05:30:00,10771.0,2648.2,9312.0,22731.2
2020-01-01T23:59:59,2020-01-01T06:00:00,9455.0,1852.0,9049.0,20356.0
2020-01-01T23:59:59,2020-01-01T06:30:00,8979.0,1661.3,8978.0,19618.3
2020-01-01T23:59:59,2020-01-01T07:00:00,9208.0,1666.1,8655.7,19529.8
2020-01-01T23:59:59,2020-01-01T07:30:00,9835.0,1973.4,9266.8,21075.2
2020-01-01T23:59:59,2020-01-01T08:00:00,10467.0,2236.5,9469.0,22172.5
2020-01-01T23:59:59,2020-01-01T08:30:00,10812.0,2819.1,8779.0,22410.1
2020-01-01T23:59:59,2020-01-01T09:00:00,16548.0,3236.0,10104.0,29888.0
2020-01-01T23:59:59,2020-01-01T09:30:00,13051.7,2723.1,9820.0,25594.8
2020-01-01T23:59:59,2020-01-01T10:00:00,11561.0,2566.5,9783.0,23910.5
2020-01-01T23:59:59,2020-01-01T10:30:00,10365.0,1664.3,10047.1,22076.4
2020-01-01T23:59:59,2020-01-01T11:00:00,9554.0,1491.0,9857.0,20902.0
2020-01-01T23:59:59,2020-01-01T11:30:00,9191.0,1453.0,9492.7,20136.7
2020-01-01T23:59:59,2020-01-01T12:00:00,8209.0,1281.1,9335.0,18825.1
