date,max_power_thuong_pham_MW,max_power_thuong_pham_time,generation_thuong_pham_mkWh,max_power_dau_cuc_MW,max_power_dau_cuc_time,generation_dau_cuc_mkWh,thuy_dien_mkWh,nhiet_dien_than_mkWh,tuabin_khi_mkWh,nhiet_dien_dau_mkWh,dien_gio_mkWh,dmt_trang_trai_mkWh,dmt_mai_thuong_pham_mkWh,dmt_mai_dau_cuc_mkWh,nhap_khau_mkWh,khac_mkWh
1/6/2024,414218,15:40,8680,417981,15:40,8737,207.3,456.5,84.7,0,16.9,49.1,868,873.7,18.6,2.5
2/6/2024,396790,21:35,8300,396790,21:35,8335,172.4,471.8,66.9,0,20.3,45.8,830,833.5,19,2.3
3/6/2024,473151,13:40,9591,479422,13:40,9649,226.4,518.7,76.9,0,32,48.7,959.1,964.9,20.7,2.4
4/6/2024,463006,13:35,9755,469365,13:35,9812,257.5,498,82.2,0,26.1,53.7,975.5,981.2,19.4,2.4
5/6/2024,433978,15:05,9422,438751,13:45,9478,289.4,455.2,72.6,0,29.1,46.9,942.2,947.8,18.2,2.3
6/6/2024,425994,15:35,9122,436607,15:35,9179,300.5,422.4,70.5,0,19.1,49.3,912.2,917.9,15.2,2.1
7/6/2024,423831,14:00,9069,429630,14:00,9124,303.8,417.9,72.7,0,22.8,43.2,906.9,912.4,20.5,1.7
8/6/2024,414071,15:35,8772,418606,15:35,8838,325.7,364.9,66.1,0,24.2,44.2,877.2,883.8,20.5,2.3
9/6/2024,359712,19:00,7670,359712,19:00,7725,262.6,351.9,58.3,0,23.9,32.6,767,772.5,15.4,2.4
10/6/2024,412899,15:35,8574,416405,15:30,8627,327.4,355.3,58.7,0,25.8,42.3,857.4,862.7,20,2.4
11/6/2024,443663,14:20,9228,448355,14:20,9281,343.3,376.3,62.9,0,27.4,54.8,922.8,928.1,18.7,2.4
12/6/2024,461899,14:00,9658,467255,13:40,9712,347.9,403.2,64.5,0,35.2,53.7,965.8,971.2,21,2.4
13/6/2024,478821,21:45,10054,481677,13:40,10107,350.1,421.9,78.2,0,40.9,55.2,1005.4,1010.7,17.4,2.4
14/6/2024,483634,14:25,10200,488477,13:30,10253,332,450.5,99.5,0,35.3,51,1020,1025.3,14.8,2.4
15/6/2024,460869,14:30,9787,465752,13:30,9839,337.2,423.9,85.4,0,28.7,53.4,978.7,983.9,15.8,2.4
16/6/2024,402693,14:30,8693,407318,14:30,8723,292.2,395.8,65.7,0,19,48.5,869.3,872.3,13.6,2.4
17/6/2024,481520,13:40,9702,487820,13:40,9761,311.2,436.7,84.1,0,30.6,53.5,970.2,976.1,15.5,2.4
18/6/2024,478140,14:30,9952,483230,14:30,10011,328.6,442.3,81.2,0,37.2,53.1,995.2,1001.1,15.5,2.3
19/6/2024,488795,13:30,10161,495326,13:30,10219,344.6,466.4,78.4,0,34,45.1,1016.1,1021.9,14.6,2.3
20/6/2024,471284,14:30,9917,476374,14:30,9975,352.8,461.1,86,0,28.3,26.8,991.7,997.5,17.5,2.4
21/6/2024,459331,14:15,9739,464992,13:05,9795,362.3,446,78.6,0,19.4,30.2,973.9,979.5,17.3,2.4
22/6/2024,438200,13:35,9267,444409,13:35,9326,357,409.3,51.6,0,34.1,35.9,926.7,932.6,16.4,2.3
23/6/2024,370513,21:35,8178,370513,21:35,8211,287.5,365.5,37.5,0,45.7,35.6,817.8,821.1,19.3,2.3
24/6/2024,418341,16:15,8734,422233,14:45,8793,339.4,383.1,42.6,0,32.6,37.4,873.4,879.3,17.3,2.3
25/6/2024,420799,15:35,8966,425065,14:45,9026,352.7,399.3,30.4,0,17.1,46,896.6,902.6,19.1,2.3
26/6/2024,425439,15:45,8942,429023,15:45,9002,370.3,381.7,37.5,0,7,44.4,894.2,900.2,20.5,2.3
27/6/2024,425811,15:45,8960,430084,14:30,9019,375.5,369.3,46.1,0,4.2,47.9,896,901.9,20.9,2.4
28/6/2024,424554,15:00,9027,429992,14:10,9087,378,368.9,45.8,0,6.7,48.8,902.7,908.7,21.9,2.4
29/6/2024,437366,13:55,9105,443641,13:55,9166,380.1,351.2,45.8,0,18.8,53.1,910.5,916.6,22,2.4
30/6/2024,396154,22:10,8419,396154,22:10,8454,328.6,338.2,39.4,0,27.5,51.3,841.9,845.4,22.3,2.4
1/7/2024,452738,13:50,9414,457763,13:50,9465,368.1,375.4,52.6,0,39,50.3,941.4,946.5,19.9,2.3
2/7/2024,456079,13:40,9586,461325,13:40,9637,380.1,382,67.6,0,18.8,51.8,958.6,963.7,20.7,2.2
3/7/2024,431308,15:45,9173,435337,14:25,9225,383.2,363.6,63.8,0,9.3,45.7,917.3,922.5,20.3,2.2
4/7/2024,428597,14:20,9071,432794,14:10,9122,395.8,362.6,54.3,0,11.1,40.1,907.1,912.2,16.6,2.2
5/7/2024,439796,14:30,9210,444013,14:25,9262,393.2,359.4,51.3,0,11,51,921,926.2,16.7,2.3
6/7/2024,435145,14:15,9195,440670,14:15,9241,385,364.6,52.2,0,8.1,52.3,919.5,924.1,16.9,2.3
7/7/2024,385674,22:10,8368,385674,22:10,8411,353.9,343.4,44.7,0,8.3,40.8,836.8,841.1,14.2,2.3
8/7/2024,458759,14:25,9347,463861,14:25,9398,394.8,383.4,54.3,0,7.6,46.8,934.7,939.8,14.2,2.2
9/7/2024,462984,14:30,9643,468089,14:30,9694,404.9,389.6,63,0,15.4,42.7,964.3,969.4,17.7,2.2
10/7/2024,444886,13:35,9496,450590,13:35,9547,391.5,369.9,59.1,0,30.6,48.7,949.6,954.7,15.7,2.2
11/7/2024,448454,14:20,9443,453552,14:20,9493,393.3,366.2,59.9,0,33.8,46.3,944.3,949.3,14.1,2.2
12/7/2024,453340,14:25,9564,458442,14:25,9616,395.7,370.2,51.3,0,47.9,44.2,956.4,961.6,14.5,2.3
13/7/2024,434690,13:50,9235,439882,14:00,9289,400.1,360.8,42.1,0,43.1,38.9,923.5,928.9,12.8,2.3
14/7/2024,371337,0:30,7954,371337,0:30,8016,354,305.2,34.3,0,40.9,29.8,795.4,801.6,12.6,2.4
15/7/2024,425852,14:20,8790,431381,14:20,8846,399.9,320.2,40.8,0,39.6,38.1,879,884.6,14.2,2.3
16/7/2024,421337,14:50,8839,426247,14:50,8895,416.3,317.8,42.9,0,31.7,35.7,883.9,889.5,16.5,2.3
17/7/2024,408649,15:55,8705,411611,15:55,8759,397.5,322.8,45.6,0,34.6,35.6,870.5,875.9,17.1,2.3
18/7/2024,411889,15:25,8683,415915,15:20,8738,395.7,309.9,47.9,0,43.1,34.4,868.3,873.8,14.4,2.3
19/7/2024,406759,15:30,8600,410565,15:30,8655,405.8,296.9,48.8,0,34.3,37.7,860,865.5,13.2,2.3
20/7/2024,398318,13:30,8431,405738,13:30,8492,419.9,280.5,42.4,0,33,35.1,843.1,849.2,14.2,2.3
21/7/2024,358371,20:45,7780,358371,20:45,7826,374.3,257,35.8,0,41.9,34.2,778,782.6,11.3,2.4
22/7/2024,416545,15:50,8672,419790,15:50,8727,410.1,291.9,45.7,0,54.1,33.7,867.2,872.7,13.2,2.3
23/7/2024,409895,15:35,8760,413323,15:35,8816,401.3,271.3,50.6,0,70,42.5,876,881.6,13,1.9
24/7/2024,422209,15:30,8901,425811,14:30,8958,401.9,277.3,52.2,0,73.2,43,890.1,895.8,12.4,2.4
25/7/2024,421809,15:50,8922,425056,15:50,8977,412.6,272.3,52.4,0,76.9,37.9,892.2,897.7,18.4,2.4
26/7/2024,447856,14:20,9371,453279,14:20,9428,424,313.9,45.9,0,70.6,36.4,937.1,942.8,23,2
27/7/2024,443676,13:25,9394,448282,13:25,9436,424.1,328.8,45.4,0,55.4,38.3,939.4,943.6,21.7,1.8
28/7/2024,375330,21:40,8154,375330,21:40,8184,384,283.8,36.5,0,40,32,815.4,818.4,16.6,1.8
29/7/2024,414903,16:15,8715,417460,16:15,8754,402,286.5,46.2,0,43.9,44.9,871.5,875.4,17.3,1.8
30/7/2024,420411,15:55,8862,423326,15:55,8900,403.5,289.8,55.3,0,37.5,47.2,886.2,890,21,1.8
31/7/2024,417308,16:00,8751,420158,16:00,8792,400.8,286.4,47.1,0,38.5,46.8,875.1,879.2,21.8,1.8
1/8/2024,419862,16:00,8878,422696,16:00,8916,427.2,273.1,50.3,0,30.6,51.1,887.8,891.6,19.7,1.8
2/8/2024,410842,15:10,8779,415096,14:30,8817,421.6,283.4,50.9,0,22,48.2,877.9,881.7,17.7,1.8
3/8/2024,401697,15:35,8564,406195,14:25,8600,411.6,276.8,50.5,0,18,49.6,856.4,860,18.3,1.8
4/8/2024,356693,21:40,7872,356693,21:40,7896,385.2,254.6,42.9,0,15.7,42.4,787.2,789.6,16.9,1.8
5/8/2024,455208,14:20,9095,460891,14:20,9142,422.7,311.8,50.9,0,15,51.8,909.5,914.2,19.1,1.8
