Date,Ca Mau Mobilized (mn kWh),Nhon Trach 1 Mobilized (mn kWh),Nhon Trach 2 (NT2) Mobilized (mn kWh),Hua Na Mobilized (mn kWh),Dak Drinh Mobilized (mn kWh),Vung Ang Mobilized (mn kWh),POW Mobilized (mn kWh),Ca Mau Contracted (mn kWh),Nhon Trach 1 Contracted (mn kWh),Nhon Trach 2 (NT2) Contracted (mn kWh),Hua Na Contracted (mn kWh),Dak Drinh Contracted (mn kWh),Vung Ang Contracted (mn kWh),POW Contracted (mw kWh),Ca Mau Revenue (VNDbn),Nhon Trach 1 Revenue (VNDbn),Nhon Trach 2 (NT2) Revenue (VNDbn),Hua Na Revenue (VNDbn),Dak Drinh Revenue (VNDbn),Vung Ang Revenue (VNDbn),Ca Mau ASP (VND/kWh),Nhon Trach 1 ASP (VND/kWh),Nhon Trach 2 (NT2) ASP (VND/kWh),Hua Na ASP (VND/kWh),Dak Drinh ASP (VND/kWh),Vung Ang ASP (VND/kWh)
2018-01-31,622.8589999999999,263.193,518.673,44.342,88.759,474.412,2012.238,0.0,162.15,369.73,28.44,35.79,478.61,1074.72,,,,,,,,,,,,
2018-02-28,472.118,243.817,326.517,27.367,35.007,444.002,1548.828,0.0,134.12,240.81,27.55,19.39,340.4,762.27,,,,,,,,,,,,
2018-03-31,639.165,323.239,484.894,68.531,58.22,589.884,2163.933,0.0,253.21,404.05,33.49,27.14,534.93,1252.82,,,,,,,,,,,,
2018-04-30,712.954,308.329,461.472,30.334,33.056,460.78,2006.925,0.0,248.71,421.5,41.55,26.91,352.74,1091.4099999999999,,,,,,,,,,,,
2018-05-31,648.241948,244.519398,399.468402,47.413266,49.531716,646.526106,2035.700836,0.0,251.55,420.27,44.58,29.19,525.23,1270.8200000000002,,,,,,,,,,,,
2018-06-30,648.102767,288.04182,403.305855,54.911024,35.366344,522.590526,1952.318336,0.0,210.01,323.98,42.17,27.15,515.61,1118.92,,,,,,,,,,,,
2018-07-31,644.3,271.9,280.0,81.3,23.9,346.2,1647.6,0.0,192.27,245.13,41.04,31.96,395.11,905.51,,,,,,,,,,,,
2018-08-31,463.25,204.31,328.85,136.55,6.31,244.24,1383.51,0.0,168.79,293.99,54.95,28.05,191.3,737.0799999999999,,,,,,,,,,,,
2018-09-30,337.21,127.43,316.41,131.84,59.31,231.39,1203.5900000000001,0.0,180.23,289.52,72.28,27.2,200.06,769.29,,,,,,,,,,,,
2018-10-31,567.56,113.44,327.05,85.06,33.54,307.81,1434.4599999999998,0.0,207.8,286.07,58.84,43.3,303.44,899.45,,,,,,,,,,,,
2018-11-30,665.41,239.92,435.06,57.6,0.0,203.77,1601.7599999999998,0.0,211.39,371.44,40.33,69.21,454.01,1146.38,,,,,,,,,,,,
2018-12-31,719.05,306.19,468.25,39.62,0.0,405.6,1938.71,0.0,229.09,358.12,30.2,67.55,593.96,1278.92,,,,,,,,,,,,
2019-01-31,682.22,304.312,434.486,45.407,52.886,391.253,1910.5639999999999,0.0,171.44,294.35,30.04,13.35,486.35,995.5300000000001,,,,,,,,,,,,
2019-02-28,558.87,222.29,294.67,41.15,37.79,393.57,1548.34,0.0,127.17,210.21,25.19,13.21,428.36,804.14,,,,,,,,,,,,
2019-03-31,687.99,325.21,499.01,44.43,36.01,449.02,2041.67,0.0,214.96,349.41,34.65,17.67,493.33,1110.02,,,,,,,,,,,,
2019-04-30,696.108,295.168,422.643,51.436,46.036,400.523,1911.9139999999998,0.0,193.12,319.24,41.13,26.67,479.47,1059.63,,,,,,,,,,,,
2019-05-31,767.2,295.0,417.6,37.1,31.1,584.3,2132.3,0.0,214.84,373.32,38.77,25.98,499.1,1152.01,,,,,,,,,,,,
2019-06-30,742.84,269.94,491.89,18.99,33.8,414.41,1971.8700000000001,0.0,210.84,361.09,37.83,18.06,488.1,1115.92,,,,,,,,,,,,
2019-07-31,685.85,217.89,448.65,24.2,20.39,361.39,1758.37,0.0,189.76,322.94,35.01,15.68,482.91,1046.3,,,,,,,,,,,,
2019-08-31,625.56,222.07,406.49,109.22,39.39,436.15,1838.88,0.0,158.28,281.53,53.63,23.32,483.64,1000.4,,,,,,,,,,,,
2019-09-30,275.65,266.29,272.47,105.65,28.17,387.7,1335.93,0.0,196.71,242.48,72.25,19.83,301.23,832.5,,,,,,,,,,,,
2019-10-31,670.73,316.57,483.31,49.0,30.71,615.5,2165.8199999999997,0.0,204.42,334.36,57.01,44.74,479.42,1119.95,,,,,,,,,,,,
2019-11-30,597.0,269.0,383.0,16.2,72.6,675.0,2012.8,0.0,221.9,366.58,40.93,63.6,508.83,1201.84,,,,,,,,,,,,
2019-12-31,567.13,251.56,397.93,17.02,3.92,661.67,1899.23,0.0,198.06,332.37,31.85,66.3,527.45,1156.0300000000002,,,,,,,,,,,,
2020-01-31,469.71,51.91,315.49,19.06,0.0,513.78,1369.9499999999998,0.0,6.3,225.78,35.08,24.31,310.46,601.9300000000001,812.37,53.19,495.58000000000004,19.139999999999997,-5.48,715.4000000000001,1729.5139554193013,1024.6580620304373,1570.826333639735,1004.1972717733472,,1392.4247732492508
2020-02-29,587.89,165.32,427.19,18.37,22.22,584.0,1804.99,0.0,17.14,333.79,31.66,26.78,614.99,1024.3600000000001,995.38,192.36,620.59,16.3,21.0,870.0,1693.139873105513,1163.5615775465765,1452.7259533228776,887.3162765378335,945.0945094509452,1489.7260273972604
2020-03-31,745.0,122.0,428.0,14.0,30.84,751.86,2091.7,0.0,36.98,370.86,35.45,24.11,646.82,1114.22,888.6100000000001,289.62,630.0,15.0,34.0,1114.0,1192.765100671141,2373.9344262295085,1471.96261682243,1071.4285714285713,1102.4643320363166,1481.6588194610697
2020-04-30,578.94,23.71,411.55,25.55,15.62,678.97,1734.34,0.0,13.71,353.92,37.31,23.81,627.69,1056.44,753.3299999999999,66.86999999999989,587.7799999999997,34.2,3.8400000000000034,1064.4299999999998,1301.2229246554045,2820.32897511598,1428.210424006803,1338.5518590998045,245.83866837387987,1567.7128591837632
2020-05-31,666.24,98.77,411.39,45.43,41.86,780.34,2044.0300000000002,0.0,88.77,370.35,38.07,23.31,635.27,1155.77,612.6300000000001,150.51999999999998,605.3400000000001,70.42999999999999,76.72000000000001,1166.0600000000004,919.5335014409224,1523.9445175660624,1471.4504484795455,1550.2971604666518,1832.7759197324417,1494.2973575620888
2020-06-30,635.72,37.17,417.91,19.5,32.71,714.49,1857.5,0.0,27.17,356.88,44.83,22.27,551.5,1002.65,747.7400000000002,53.31000000000006,656.21,10.240000000000009,32.579999999999984,1054.54,1176.2096520480718,1434.2211460855542,1570.218468091216,525.1282051282055,996.0256802201156,1475.933882909488
2020-07-31,633.89,172.76,416.29,25.03,31.28,569.03,1848.28,0.0,156.76,346.71,39.82,26.45,415.3,985.04,956.3499999999995,271.32000000000005,620.7399999999998,36.22999999999999,33.170000000000016,792.8499999999995,1508.700247677041,1570.502431118315,1491.1239760743706,1447.4630443467834,1060.4219948849109,1393.3360279774345
