date_time,region,reservoir_name,flood_level,total_capacity
01/01/2024 15:00,Đông Bắc Bộ,Tuyên Quang,50,0
01/01/2024 15:00,Tây Bắc Bộ,Lai Châu,106,0
01/01/2024 15:00,Tây Bắc Bộ,Bản Chát,11.5,0
01/01/2024 15:00,Tây Bắc Bộ,Huội Quảng,28.1,0
01/01/2024 15:00,Tây Bắc Bộ,Sơn La,54,270
01/01/2024 15:00,Tây Bắc Bộ,Hòa Bình,239,348
01/01/2024 15:00,Tây Bắc Bộ,Thác Bà,50,0
01/01/2024 15:00,Bắc Trung Bộ,Trung Sơn,75,75
01/01/2024 15:00,Bắc Trung Bộ,Bản Vẽ,45,0
01/01/2024 15:00,Nam Trung Bộ,A Vương,60.54,78
01/01/2024 15:00,Nam Trung Bộ,Sông Bung 2,14.95,0
01/01/2024 15:00,Nam Trung Bộ,Vĩnh Sơn A,7.82,8.47
01/01/2024 15:00,Nam Trung Bộ,Sông Bung 4,43.44,0
01/01/2024 15:00,Nam Trung Bộ,Vĩnh Sơn B,1.23,
01/01/2024 15:00,Nam Trung Bộ,Vĩnh Sơn C,0.56,
01/01/2024 15:00,Nam Trung Bộ,Sông Tranh 2,174.22,160
01/01/2024 15:00,Nam Trung Bộ,Sông Ba Hạ,60,0
01/01/2024 15:00,Nam Trung Bộ,Sông Hinh,106.32,56.32
01/01/2024 15:00,Tây Nguyên,Thượng Kon Tum,35.86,22.27
01/01/2024 15:00,Tây Nguyên,Pleikrông,70,0
01/01/2024 15:00,Tây Nguyên,Ialy,45,0
01/01/2024 15:00,Tây Nguyên,Sê San 3,6,0
01/01/2024 15:00,Tây Nguyên,Sê San 3A,0,0
01/01/2024 15:00,Tây Nguyên,Sê San 4,7,0
01/01/2024 15:00,Đông Nam Bộ,Trị An,150,0
01/01/2024 15:00,Đông Nam Bộ,Thác Mơ,0,0
02/01/2024 15:00,Đông Bắc Bộ,Tuyên Quang,50.09,111
02/01/2024 15:00,Tây Bắc Bộ,Lai Châu,97,300
02/01/2024 15:00,Tây Bắc Bộ,Bản Chát,11.5,0
02/01/2024 15:00,Tây Bắc Bộ,Huội Quảng,28.1,0
02/01/2024 15:00,Tây Bắc Bộ,Sơn La,92,355
02/01/2024 15:00,Tây Bắc Bộ,Hòa Bình,349,729
02/01/2024 15:00,Tây Bắc Bộ,Thác Bà,50,60.96
02/01/2024 15:00,Bắc Trung Bộ,Trung Sơn,57,90
02/01/2024 15:00,Bắc Trung Bộ,Bản Vẽ,61,34
02/01/2024 15:00,Nam Trung Bộ,A Vương,32.64,78
02/01/2024 15:00,Nam Trung Bộ,Sông Bung 2,19.05,34
02/01/2024 15:00,Nam Trung Bộ,Vĩnh Sơn A,1.24,4.99
02/01/2024 15:00,Nam Trung Bộ,Sông Bung 4,112.56,156
02/01/2024 15:00,Nam Trung Bộ,Vĩnh Sơn B,1.23,
02/01/2024 15:00,Nam Trung Bộ,Vĩnh Sơn C,0.56,
02/01/2024 15:00,Nam Trung Bộ,Sông Tranh 2,153.67,198
02/01/2024 15:00,Nam Trung Bộ,Sông Ba Hạ,90,194
02/01/2024 15:00,Nam Trung Bộ,Sông Hinh,106.32,56.32
02/01/2024 15:00,Tây Nguyên,Thượng Kon Tum,35.36,27.78
02/01/2024 15:00,Tây Nguyên,Pleikrông,97,97
02/01/2024 15:00,Tây Nguyên,Ialy,131,0
02/01/2024 15:00,Tây Nguyên,Sê San 3,7,0
02/01/2024 15:00,Tây Nguyên,Sê San 3A,0,0
02/01/2024 15:00,Tây Nguyên,Sê San 4,32,32
02/01/2024 15:00,Đông Nam Bộ,Trị An,120,0
02/01/2024 15:00,Đông Nam Bộ,Thác Mơ,13.26,158
03/01/2024 15:00,Đông Bắc Bộ,Tuyên Quang,50,113
03/01/2024 15:00,Tây Bắc Bộ,Lai Châu,122,530
03/01/2024 15:00,Tây Bắc Bộ,Bản Chát,45.6,91.9
